state,date,lat,lon,site_name
AK,17964,60.45,-149.49,"Near Crescent Lake, Kenai Peninsula"
CO,17964,38.8,-106.89,Crested Butte South
WY,17966,42.85,-106.33,Casper
AK,17968,59.27,-135.52,"Lutak Inlet, north of Haines"
CO,18238,40.52,-105.91,"Diamond Peaks, west of Cameron Pass"
UT,18245,40.65,-111.59,"Dutch Draw, Park City Ridgeline"
MT,18262,47.23,-113.69,"Near Lake Dinah, west of Seeley Lake"
ID,18268,47.49,-116.14,"Wardner Peak, Bitterroot Mountains"
OR,18272,44.86,-118.19,"Rock Creek, Elkhorn Mountains"
ID,18276,43.69,-114.66,"Baker Creek drainage, Smoky Mountains"
CA,18278,39.16,-120.23,"Scott Peak, west of Lake Tahoe"
CO,18279,37.98,-107.66,"Uncompahgre Gorge, south of Ouray"
UT,18279,40.98,-111.82,"Farmington Canyon, east of Farmington"
WA,18284,47.48,-120.66,Near Blewett Pass
AK,18302,60.32,-149.61,"Boulder Creek Drainage, South of Cooper Landing"
CO,18307,39.69,-106.47,"South Fork of Dickson Creek, east of Red and White Mountain"
AK,18317,53.58,-166.89,Unalaska Island
AK,18330,61.76,-149.24,Near Hatcher Pass
ID,18336,42.78,-112.15,North of Skyline Peak
WY,18353,43.53,-110.98,"Taylor Mountain, northwest of Teton Pass"
ID,18355,43.38,-111.09,"Austin Canyon, Snake River Range"
CO,18367,39.65,-106.16,"Point 12885 near Red Peak, west of Silverthorne"
CO,18380,38.9,-107.03,"Mount Emmons, west of Crested Butte"
CO,18614,38.84,-107.1,"Near Ohio Pass, Anthracite Range"
WY,18614,42.58,-110.75,"Near Sheep Pass, Salt River Range"
CO,18615,37.84,-107.75,"North Face of Battleship, southeast of Ophir"
CO,18622,39.83,-105.77,"First Creek, north of Berthoud Pass"
UT,18635,40.65,-111.59,"Dutch Draw, Park City Ridgeline"
UT,18657,40.67,-111.6,"Squaretop, Park City Ridgeline"
CO,18659,37.85,-107.77,"The Nose, Middle Fork Mineral Creek southeast of Ophir"
AK,18660,61.42,-149.39,"Bear Mountain, Chugach State Park"
CA,18661,41.39,-122.98,"Etna Summit, west of Etna"
CO,18662,39.61,-106.3,"Marvin’s West, East Vail backcountry southeast of Vail"
MT,18664,48.2,-113.96,"Wounded Buck Creek, northwest of Wildcat Lake"
UT,18664,40.63,-111.67,"Wilson Glade, Mill Creek Canyon"
WA,18666,47.35,-121.19,"Knox Creek, Salmon la Sac area, near Cle Elum Lake"
CO,18672,39.92,-105.69,"Pumphouse Lake, southwest of Rollins Pass"
CO,18672,39.69,-105.89,"Near Mount Trelease, north of Loveland Pass"
MT,18672,45.33,-111.38,"Beehive Basin, north of Big Sky Montana"
CO,18674,40.35,-105.97,"West of Ruby Mountain, southeast of Rand"
WY,18675,43.09,-110.92,"Squaw Creek Drainage, Southeast of Alpine, WY "
WY,18676,43.75,-110.06,"Togwotee Pass, WY"
ID,18677,43.81,-114.84,"Smiley Creek Drainage, Smoky Mountains"
ID,18678,42.47,-111.55,"Near Sherman Peak, Southeast of Pocatello"
NV,18678,40.57,-115.39,"Near Castle Lake, Ruby Mountains, Southeast of Elko"
WY,18680,43.7,-110.79,"Broken Thumb Couloir, Peak 9,975 (25 Short), Grand Teton National Park"
ID,18685,47.53,-115.84,"Tiger Peak, north of Burke"
CA,18706,39.37,-120.33,"Frog Lake Cliffs, north of Donner Pass"
CO,18708,39.58,-106.56,Lime Creek south of Edwards
AK,18713,61.65,-147.67,Matanuska Glacier
AK,18760,62.76,-150.64,"Ruth Glacier, Denali National Park and Preserve"
