state,date,lat,lon,site_name
OR,2016-03-08,45.2,-117.32,"Chief Joseph Peak, Wallowa Mountains"
OR,2020-01-11,44.86,-118.19,"Rock Creek, Elkhorn Mountains"
OR,1999-01-29,45.75,-118.06,
OR,2014-02-11,45.02,-117.26,
OR,2014-03-30,43.71,-121.23,
OR,2014-04-28,42.95,-122.1,
UT,2015-03-04,41.22,-111.87,"Hell's Canyon, near Snowbasin Ski Resort"
UT,2016-01-31,40.68,-111.6,"Willow Draw near Park City Mountain Resort, Utah"
UT,2016-01-21,40.6,-111.64,"Gobblers Knob, Big Cottonwood Canyon"
UT,2019-02-09,40.86,-111.01,"Humpy Peak, western Uinta Mountains"
UT,2019-02-07,38.2,-112.4,"Circleville Mountain, Tushar Mountains"
UT,2019-01-25,38.45,-109.23,"East Face Laurel Peak, La Sal Mountains"
UT,2019-01-18,39.63,-111.25,"Electric Lake, Manti Skyline"
UT,2019-12-15,40.65,-111.59,"Dutch Draw, Park City Ridgeline"
UT,2020-01-18,40.98,-111.82,"Farmington Canyon, east of Farmington"
UT,2021-02-06,40.63,-111.67,"Wilson Glade, Mill Creek Canyon"
UT,2021-01-30,40.67,-111.6,"Squaretop, Park City Ridgeline"
UT,2021-01-08,40.65,-111.59,"Dutch Draw, Park City Ridgeline"
UT,2002-03-12,40.58,-111.59,
UT,2003-12-26,40.4,-111.63,
UT,2004-02-26,40.64,-111.52,
UT,2004-12-10,40.59,-111.6,
UT,2004-12-11,40.68,-111.19,
UT,2004-12-11,40.21,-111.11,
UT,2005-01-08,39.34,-111.56,
UT,2005-12-31,40.39,-111.63,
UT,2006-04-06,40.57,-111.71,
UT,2007-02-17,37.32,-113.75,
UT,2007-02-18,41.24,-111.85,
UT,2010-01-24,41.21,-111.88,
UT,2012-02-23,40.62,-111.56,
UT,2014-02-08,40.48,-111.64,
UT,2014-02-09,39.57,-111.21,
WA,2015-12-31,47.41,-121.49,Granite Mountain near Snoqualmie Pass
WA,2015-12-19,47.44,-121.38,Kendall Peak
WA,2016-01-24,48.86,-121.69,"Mt Herman, northeast of Mount Baker"
WA,2016-12-27,46.62,-121.39,West of White Pass Ski Area
WA,2017-04-11,47.45,-121.39,"Red Mountain, north of Snoqualmie Pass"
WA,2017-03-04,47.45,-121,"Hawkins Mountain, north of Cle Elum"
WA,2017-01-04,46.91,-121.49,"Near Crystal Mountain, south of Greenwater"
WA,2018-03-10,48.72,-121.86,"Park Butte, south of Mount Baker"
WA,2018-03-04,48.69,-120.45,"Setting Sun Mountain, north of the Methow Valley"
WA,2018-03-03,47.44,-120.94,"North Fork Teanaway, north of Cle Elum"
WA,2018-02-25,47.35,-121.44,Stampede Pass
WA,2018-02-25,47.46,-121.45,Snoqualmie Pass
WA,2020-01-23,47.48,-120.66,Near Blewett Pass
WA,2021-02-08,47.35,-121.19,"Knox Creek, Salmon la Sac area, near Cle Elum Lake"
WA,1999-01-18,48.85,-121.66,
WA,1999-02-14,48.85,-121.64,
WA,2000-01-16,46.92,-121.51,
WA,2002-12-29,46.93,-121.47,
WA,2003-12-12,48.85,-121.69,
WA,2003-12-13,47.45,-121.44,
WA,2003-12-17,47.41,-120.79,
WA,2007-12-02,47.45,-121.45,
WA,2007-12-18,46.83,-121.72,
WA,2008-01-01,48.91,-121.8,
WA,2008-01-04,48.06,-121.74,
WA,2008-12-28,48.8,-120.59,
WA,2008-12-30,47.45,-117.13,
WA,2014-04-23,46.87,-121.52,
WY,2015-05-17,43.84,-110.77,Mount Moran
WY,2016-02-21,43.79,-110.93,Grand Targhee Resort
WY,2016-02-19,44.66,-107.51,Big Horn Mountains near Sheridan Wyoming
WY,2016-01-24,43.59,-110.88,"Rock Springs drainage, south of Jackson Hole Mountain Resort"
WY,2016-01-19,43.55,-110.88,"Pyramid Peak, Teton Range"
WY,2016-12-23,43.78,-110.92,East of Grand Targee Resort
WY,2017-12-29,42.59,-110.73,"Commissary Ridge, Salt River Range"
WY,2018-04-22,43.71,-110.38,"Northwest of East Leidy Mountain, west of Togwotee Pass"
WY,2018-02-17,43.59,-110.88,"Ralph's Slide, Upper Rock Springs Canyon near Wilson"
WY,2018-12-22,42.94,-110.59,"Horse Creek, Wyoming Range"
WY,2019-03-11,42.85,-106.33,Casper
WY,2019-03-04,43.8,-110.1,"Breccia Cliffs, northwest of Togwotee Pass"
WY,2019-01-09,43.72,-110.4,"Mount Leidy, southwest of Togwotee Pass"
WY,2020-04-01,43.53,-110.98,"Taylor Mountain, northwest of Teton Pass"
WY,2020-12-18,42.58,-110.75,"Near Sheep Pass, Salt River Range"
WY,2021-02-22,43.7,-110.79,"Broken Thumb Couloir, Peak 9,975 (25 Short), Grand Teton National Park"
WY,2021-02-18,43.75,-110.06,"Togwotee Pass, WY"
WY,2021-02-17,43.09,-110.92,"Squaw Creek Drainage, Southeast of Alpine, WY "
WY,1998-12-29,42.71,-110.81,
WY,1999-01-19,43.6,-110.84,
WY,2003-01-29,43.5,-110.96,
WY,2004-01-31,43.51,-110.95,
WY,2005-12-27,43.75,-110.08,
WY,2006-12-16,43.07,-110.92,
WY,2007-01-05,43.58,-110.88,
WY,2008-12-29,43.6,-110.84,
WY,2009-01-02,44.15,-109.6,
WY,2014-02-18,43.75,-110.08,
