State,Latitude,Longitude,Date,SWE,Precipitation,Cumulative_Precipitation,Max_Temp,Min_Temp
AK,-149.67,61.11,16756,33,0,86,-14.2,-24.9
AK,-149.67,61.11,16755,33,0,86,-14.1,-24.7
AK,-149,61.38,16762,25,0,48,4.4,-9.6
AK,-149,61.38,16761,25,0,48,-4.1,-13.1
AK,-149,61.38,16760,15,10,38,0.2,-8.7
AK,-149,61.38,16759,10,3,36,3.6,-1.3
AK,-149,61.38,16758,0,8,28,2.7,-13.3
AK,-149,61.38,16757,0,0,28,-12.4,-20.7
AK,-149,61.38,16756,5,0,28,-15.1,-20.8
AK,-149,61.38,16755,5,0,28,-14.4,-19.7
AK,-150.04,62.13,16762,91,10,145,-5.4,-8.2
AK,-150.04,62.13,16761,91,0,145,-7.3,-17
AK,-150.04,62.13,16760,91,0,145,0,-7.8
AK,-150.04,62.13,16759,86,5,140,-1.2,-10.5
AK,-150.04,62.13,16758,41,36,104,-8.4,-22.6
AK,-150.04,62.13,16757,41,0,104,-21.1,-33.2
AK,-150.04,62.13,16756,41,0,104,-20.1,-30.9
AK,-150.04,62.13,16755,41,0,104,-20.6,-31.5
AK,-149.18,60.78,16762,89,0,229,-0.2,-6.9
AK,-149.18,60.78,16761,89,0,229,-5.2,-9.6
AK,-149.18,60.78,16760,86,3,226,-0.7,-7.5
AK,-149.18,60.78,16759,76,8,218,0.7,-3.2
AK,-149.18,60.78,16758,74,5,213,-1.2,-12.6
AK,-149.18,60.78,16757,74,0,213,-12.4,-17.2
AK,-149.18,60.78,16756,74,0,213,-12.2,-17.8
AK,-149.18,60.78,16755,74,0,213,-13.5,-18.4
AK,-149.48,61.07,16762,97,8,231,-2.6,-8.1
AK,-149.48,61.07,16761,94,3,229,-6,-14.3
AK,-149.48,61.07,16760,81,13,216,-2,-9.9
AK,-149.48,61.07,16759,66,18,198,-1,-3.6
AK,-149.48,61.07,16758,53,18,180,-2.6,-13.5
AK,-149.48,61.07,16757,51,3,178,-11,-20.8
AK,-149.48,61.07,16756,48,3,175,-17.8,-20.2
AK,-149.48,61.07,16755,48,0,175,-17.1,-20.7
AK,-149.09,60.96,16762,38,0,251,-0.3,-5.6
AK,-149.09,60.96,16761,38,0,251,-3.4,-7.4
AK,-149.09,60.96,16760,28,10,241,0.6,-5.7
AK,-149.09,60.96,16759,25,3,239,2.4,-1.1
AK,-149.09,60.96,16758,25,0,239,1.6,-10.1
AK,-149.09,60.96,16757,25,3,236,-9.3,-16.6
AK,-149.09,60.96,16756,25,0,236,-13,-17.1
AK,-149.09,60.96,16755,25,0,236,-12.9,-16.7
AK,-146.59,65.37,16762,#N/A,0,74,-5.9,-19.4
AK,-146.59,65.37,16761,#N/A,0,74,-10.7,-18.7
AK,-146.59,65.37,16760,#N/A,15,58,-2,-10.7
AK,-146.59,65.37,16759,#N/A,3,56,-4.1,-9.1
AK,-146.59,65.37,16758,#N/A,3,53,-5.9,-24
AK,-146.59,65.37,16757,#N/A,0,53,-22.3,-32.5
AK,-146.59,65.37,16756,#N/A,0,53,-21.4,-23.7
AK,-146.59,65.37,16755,#N/A,0,53,-22.2,-30.4
AK,-147.8,64.85,16762,48,8,58,-4.7,-17.7
AK,-147.8,64.85,16761,43,5,53,-5.7,-12.4
AK,-147.8,64.85,16760,41,3,51,-4.1,-10.7
AK,-147.8,64.85,16759,41,0,51,-6.7,-12.1
AK,-147.8,64.85,16758,41,0,51,-9.1,-31.3
AK,-147.8,64.85,16757,38,0,51,-20.7,-31.4
AK,-147.8,64.85,16756,38,0,51,-20.4,-22.1
AK,-147.8,64.85,16755,38,0,51,-21.9,-29.5
AK,-146.73,65.12,16762,71,3,61,-4.6,-13.4
AK,-146.73,65.12,16761,71,0,61,-9.9,-13.2
AK,-146.73,65.12,16760,61,10,51,-2.1,-10.2
AK,-146.73,65.12,16759,61,0,51,-1.9,-4.9
AK,-146.73,65.12,16758,61,5,46,-5.1,-21.7
AK,-146.73,65.12,16757,61,0,46,-22.8,-25.4
AK,-146.73,65.12,16756,61,0,46,-23.1,-24.6
AK,-146.73,65.12,16755,61,0,46,-20.3,-23.6
AK,-149.62,60.19,16762,30,3,335,3.4,-14.2
AK,-149.62,60.19,16761,30,0,335,-4.5,-13.6
AK,-149.62,60.19,16760,30,0,335,1.6,-4.7
AK,-149.62,60.19,16759,30,15,320,1.4,-3.4
AK,-149.62,60.19,16758,8,30,290,1.6,-12.3
AK,-149.62,60.19,16757,8,0,290,-12.3,-21.2
AK,-149.62,60.19,16756,8,0,290,-10.1,-18.7
AK,-149.62,60.19,16755,8,0,290,-11.6,-20.2
AK,-149.67,61.11,16762,51,0,112,0.9,-8.8
AK,-149.67,61.11,16761,51,0,112,-2.9,-15.8
AK,-149.67,61.11,16760,41,13,99,-0.3,-10.4
AK,-149.67,61.11,16759,33,8,91,2.1,-3.9
AK,-149.67,61.11,16758,33,5,86,0.1,-14.8
AK,-149.67,61.11,16757,33,0,86,-14.8,-24.5
AK,-149.67,61.11,16756,33,0,86,-14.2,-24.9
AK,-149.67,61.11,16755,33,0,86,-14.1,-24.7
AK,-149.34,60.26,16762,58,3,249,#N/A,#N/A
AK,-149.34,60.26,16761,58,0,249,#N/A,#N/A
AK,-149.34,60.26,16760,58,0,249,#N/A,#N/A
AK,-149.34,60.26,16759,51,8,241,#N/A,#N/A
AK,-149.34,60.26,16758,18,28,213,#N/A,#N/A
AK,-149.34,60.26,16757,18,0,213,#N/A,#N/A
AK,-149.34,60.26,16756,15,3,211,#N/A,#N/A
AK,-149.34,60.26,16755,15,0,211,#N/A,#N/A
AK,-149.53,60.62,16762,61,0,137,-1.3,-10.1
AK,-149.53,60.62,16761,61,0,137,-6.4,-16
AK,-149.53,60.62,16760,51,10,127,0.1,-7.3
AK,-149.53,60.62,16759,43,10,117,0.3,-5.2
AK,-149.53,60.62,16758,38,10,107,-1.8,-13.6
AK,-149.53,60.62,16757,38,0,107,-13.6,-22.9
AK,-149.53,60.62,16756,38,0,107,-13.6,-22
AK,-149.53,60.62,16755,38,0,107,-14.9,-23.1
AK,-149.06,60.61,16762,64,0,361,-1.8,-9.6
AK,-149.06,60.61,16761,64,0,361,-5.5,-10.5
AK,-149.06,60.61,16760,61,5,356,-0.1,-6.9
AK,-149.06,60.61,16759,61,5,351,0.8,-3.4
AK,-149.06,60.61,16758,56,5,345,-1.6,-14.3
AK,-149.06,60.61,16757,56,8,338,-14.3,-20.2
AK,-149.06,60.61,16756,56,0,338,-16.3,-20.4
AK,-149.06,60.61,16755,56,0,338,-15.7,-20.1
AK,-150.48,60.73,16762,36,0,99,-1.6,-5.7
AK,-150.48,60.73,16761,36,0,99,-3.3,-15.3
AK,-150.48,60.73,16760,30,5,94,0.6,-7.9
AK,-150.48,60.73,16759,25,5,89,-0.3,-7.2
AK,-150.48,60.73,16758,20,5,84,-4.2,-13.8
AK,-150.48,60.73,16757,20,3,81,-13.1,-28
AK,-150.48,60.73,16756,20,0,81,-13.6,-27.9
AK,-150.48,60.73,16755,20,0,81,-13.2,-25.8
AK,-149.69,60.39,16762,46,3,165,1.8,-9.2
AK,-149.69,60.39,16761,46,0,165,-5.5,-10.6
AK,-149.69,60.39,16760,38,8,157,0.7,-6.9
AK,-149.69,60.39,16759,28,8,150,1.2,-1.4
AK,-149.69,60.39,16758,15,18,132,0.6,-10.3
AK,-149.69,60.39,16757,15,3,130,-10.3,-17.3
AK,-149.69,60.39,16756,15,0,130,-12.2,-16.7
AK,-149.69,60.39,16755,15,3,127,-12.8,-16.3
AK,-149.18,60.78,16762,89,0,229,-0.2,-6.9
AK,-149.18,60.78,16761,89,0,229,-5.2,-9.6
AK,-149.18,60.78,16760,86,3,226,-0.7,-7.5
AK,-149.18,60.78,16759,76,8,218,0.7,-3.2
AK,-149.18,60.78,16758,74,5,213,-1.2,-12.6
AK,-149.18,60.78,16757,74,0,213,-12.4,-17.2
AK,-149.18,60.78,16756,74,0,213,-12.2,-17.8
AK,-149.18,60.78,16755,74,0,213,-13.5,-18.4
AK,-149.48,61.07,16762,97,8,231,-2.6,-8.1
AK,-149.48,61.07,16761,94,3,229,-6,-14.3
AK,-149.48,61.07,16760,81,13,216,-2,-9.9
AK,-149.48,61.07,16759,66,18,198,-1,-3.6
AK,-149.48,61.07,16758,53,18,180,-2.6,-13.5
AK,-149.48,61.07,16757,51,3,178,-11,-20.8
AK,-149.48,61.07,16756,48,3,175,-17.8,-20.2
AK,-149.48,61.07,16755,48,0,175,-17.1,-20.7
AK,-149.09,60.96,16762,38,0,251,-0.3,-5.6
AK,-149.09,60.96,16761,38,0,251,-3.4,-7.4
AK,-149.09,60.96,16760,28,10,241,0.6,-5.7
AK,-149.09,60.96,16759,25,3,239,2.4,-1.1
AK,-149.09,60.96,16758,25,0,239,1.6,-10.1
AK,-149.09,60.96,16757,25,3,236,-9.3,-16.6
AK,-149.09,60.96,16756,25,0,236,-13,-17.1
AK,-149.09,60.96,16755,25,0,236,-12.9,-16.7
AK,-149.67,61.11,16762,51,0,112,0.9,-8.8
AK,-149.67,61.11,16761,51,0,112,-2.9,-15.8
AK,-149.67,61.11,16760,41,13,99,-0.3,-10.4
AK,-149.67,61.11,16759,33,8,91,2.1,-3.9
AK,-149.67,61.11,16758,33,5,86,0.1,-14.8
AK,-149.67,61.11,16757,33,0,86,-14.8,-24.5
AK,-149.67,61.11,16756,33,0,86,-14.2,-24.9
AK,-149.67,61.11,16755,33,0,86,-14.1,-24.7
AK,-149,61.38,16762,25,0,48,4.4,-9.6
AK,-149,61.38,16761,25,0,48,-4.1,-13.1
AK,-149,61.38,16760,15,10,38,0.2,-8.7
AK,-149,61.38,16759,10,3,36,3.6,-1.3
AK,-149,61.38,16758,0,8,28,2.7,-13.3
AK,-149,61.38,16757,0,0,28,-12.4,-20.7
AK,-149,61.38,16756,5,0,28,-15.1,-20.8
AK,-149,61.38,16755,5,0,28,-14.4,-19.7
AK,-150.04,62.13,16762,91,10,145,-5.4,-8.2
AK,-150.04,62.13,16761,91,0,145,-7.3,-17
AK,-150.04,62.13,16760,91,0,145,0,-7.8
AK,-150.04,62.13,16759,86,5,140,-1.2,-10.5
AK,-150.04,62.13,16758,41,36,104,-8.4,-22.6
AK,-150.04,62.13,16757,41,0,104,-21.1,-33.2
AK,-150.04,62.13,16756,41,0,104,-20.1,-30.9
AK,-150.04,62.13,16755,41,0,104,-20.6,-31.5
AK,-149.48,61.07,16762,97,8,231,-2.6,-8.1
AK,-149.48,61.07,16761,94,3,229,-6,-14.3
AK,-149.48,61.07,16760,81,13,216,-2,-9.9
AK,-149.48,61.07,16759,66,18,198,-1,-3.6
AK,-149.48,61.07,16758,53,18,180,-2.6,-13.5
AK,-149.48,61.07,16757,51,3,178,-11,-20.8
AK,-149.48,61.07,16756,48,3,175,-17.8,-20.2
AK,-149.48,61.07,16755,48,0,175,-17.1,-20.7
AK,-149.09,60.96,16762,38,0,251,-0.3,-5.6
AK,-149.09,60.96,16761,38,0,251,-3.4,-7.4
AK,-149.09,60.96,16760,28,10,241,0.6,-5.7
AK,-149.09,60.96,16759,25,3,239,2.4,-1.1
AK,-149.09,60.96,16758,25,0,239,1.6,-10.1
AK,-149.09,60.96,16757,25,3,236,-9.3,-16.6
AK,-149.09,60.96,16756,25,0,236,-13,-17.1
AK,-149.09,60.96,16755,25,0,236,-12.9,-16.7
AK,-149.62,60.19,16762,30,3,335,3.4,-14.2
AK,-149.62,60.19,16761,30,0,335,-4.5,-13.6
AK,-149.62,60.19,16760,30,0,335,1.6,-4.7
AK,-149.62,60.19,16759,30,15,320,1.4,-3.4
AK,-149.62,60.19,16758,8,30,290,1.6,-12.3
AK,-149.62,60.19,16757,8,0,290,-12.3,-21.2
AK,-149.62,60.19,16756,8,0,290,-10.1,-18.7
AK,-149.62,60.19,16755,8,0,290,-11.6,-20.2
AK,-148.09,60.8,16762,#N/A,5,803,#N/A,#N/A
AK,-148.09,60.8,16761,#N/A,0,803,-0.4,-4.7
AK,-148.09,60.8,16760,#N/A,8,795,3.7,-0.6
AK,-148.09,60.8,16759,#N/A,30,765,3.8,-1.6
AK,-148.09,60.8,16758,#N/A,0,765,2.5,-6.4
AK,-148.09,60.8,16757,#N/A,0,765,#N/A,#N/A
AK,-148.09,60.8,16756,#N/A,10,754,#N/A,#N/A
AK,-148.09,60.8,16755,#N/A,3,752,#N/A,#N/A
AK,-149,61.38,16762,25,0,48,4.4,-9.6
AK,-149,61.38,16761,25,0,48,-4.1,-13.1
AK,-149,61.38,16760,15,10,38,0.2,-8.7
AK,-149,61.38,16759,10,3,36,3.6,-1.3
AK,-149,61.38,16758,0,8,28,2.7,-13.3
AK,-149,61.38,16757,0,0,28,-12.4,-20.7
AK,-149,61.38,16756,5,0,28,-15.1,-20.8
AK,-149,61.38,16755,5,0,28,-14.4,-19.7
AK,-149.34,60.26,16762,58,3,249,#N/A,#N/A
AK,-149.34,60.26,16761,58,0,249,#N/A,#N/A
AK,-149.34,60.26,16760,58,0,249,#N/A,#N/A
AK,-149.34,60.26,16759,51,8,241,#N/A,#N/A
AK,-149.34,60.26,16758,18,28,213,#N/A,#N/A
AK,-149.34,60.26,16757,18,0,213,#N/A,#N/A
AK,-149.34,60.26,16756,15,3,211,#N/A,#N/A
AK,-149.34,60.26,16755,15,0,211,#N/A,#N/A
AK,-149.53,60.62,16762,61,0,137,-1.3,-10.1
AK,-149.53,60.62,16761,61,0,137,-6.4,-16
AK,-149.53,60.62,16760,51,10,127,0.1,-7.3
AK,-149.53,60.62,16759,43,10,117,0.3,-5.2
AK,-149.53,60.62,16758,38,10,107,-1.8,-13.6
AK,-149.53,60.62,16757,38,0,107,-13.6,-22.9
AK,-149.53,60.62,16756,38,0,107,-13.6,-22
AK,-149.53,60.62,16755,38,0,107,-14.9,-23.1
AK,-149.06,60.61,16762,64,0,361,-1.8,-9.6
AK,-149.06,60.61,16761,64,0,361,-5.5,-10.5
AK,-149.06,60.61,16760,61,5,356,-0.1,-6.9
AK,-149.06,60.61,16759,61,5,351,0.8,-3.4
AK,-149.06,60.61,16758,56,5,345,-1.6,-14.3
AK,-149.06,60.61,16757,56,8,338,-14.3,-20.2
AK,-149.06,60.61,16756,56,0,338,-16.3,-20.4
AK,-149.06,60.61,16755,56,0,338,-15.7,-20.1
AK,-149.69,60.39,16762,46,3,165,1.8,-9.2
AK,-149.69,60.39,16761,46,0,165,-5.5,-10.6
AK,-149.69,60.39,16760,38,8,157,0.7,-6.9
AK,-149.69,60.39,16759,28,8,150,1.2,-1.4
AK,-149.69,60.39,16758,15,18,132,0.6,-10.3
AK,-149.69,60.39,16757,15,3,130,-10.3,-17.3
AK,-149.69,60.39,16756,15,0,130,-12.2,-16.7
AK,-149.69,60.39,16755,15,3,127,-12.8,-16.3
AK,-149.18,60.78,16762,89,0,229,-0.2,-6.9
AK,-149.18,60.78,16761,89,0,229,-5.2,-9.6
AK,-149.18,60.78,16760,86,3,226,-0.7,-7.5
AK,-149.18,60.78,16759,76,8,218,0.7,-3.2
AK,-149.18,60.78,16758,74,5,213,-1.2,-12.6
AK,-149.18,60.78,16757,74,0,213,-12.4,-17.2
AK,-149.18,60.78,16756,74,0,213,-12.2,-17.8
AK,-149.18,60.78,16755,74,0,213,-13.5,-18.4
AK,-149.48,61.07,16762,97,8,231,-2.6,-8.1
AK,-149.48,61.07,16761,94,3,229,-6,-14.3
AK,-149.48,61.07,16760,81,13,216,-2,-9.9
AK,-149.48,61.07,16759,66,18,198,-1,-3.6
AK,-149.48,61.07,16758,53,18,180,-2.6,-13.5
AK,-149.48,61.07,16757,51,3,178,-11,-20.8
AK,-149.48,61.07,16756,48,3,175,-17.8,-20.2
AK,-149.48,61.07,16755,48,0,175,-17.1,-20.7
AK,-149.09,60.96,16762,38,0,251,-0.3,-5.6
AK,-149.09,60.96,16761,38,0,251,-3.4,-7.4
AK,-149.09,60.96,16760,28,10,241,0.6,-5.7
AK,-149.09,60.96,16759,25,3,239,2.4,-1.1
AK,-149.09,60.96,16758,25,0,239,1.6,-10.1
AK,-149.09,60.96,16757,25,3,236,-9.3,-16.6
AK,-149.09,60.96,16756,25,0,236,-13,-17.1
AK,-149.09,60.96,16755,25,0,236,-12.9,-16.7
AK,-134.86,58.7,16762,71,0,419,-0.6,-8.3
AK,-134.86,58.7,16761,69,5,414,-1.2,-6.1
AK,-134.86,58.7,16760,69,8,406,3.7,-1.7
AK,-134.86,58.7,16759,61,8,399,1.8,-0.4
AK,-134.86,58.7,16758,61,3,396,-0.4,-10.4
AK,-134.86,58.7,16757,61,5,391,-5.4,-8.1
AK,-134.86,58.7,16756,56,8,384,-2.4,-5.7
AK,-134.86,58.7,16755,51,5,378,-1.3,-4.6
AK,-135.21,59.59,16762,#N/A,0,305,-7.9,-10.8
AK,-135.21,59.59,16761,#N/A,0,305,-1.4,-8.2
AK,-135.21,59.59,16760,#N/A,0,305,3.8,-1.7
AK,-135.21,59.59,16759,#N/A,20,284,0.9,-6.3
AK,-135.21,59.59,16758,#N/A,10,274,-6.1,-15.3
AK,-135.21,59.59,16757,#N/A,0,274,-10.2,-13.5
AK,-135.21,59.59,16756,#N/A,0,274,-6.5,-10.3
AK,-135.21,59.59,16755,#N/A,0,274,-4.4,-6.9
AK,-149.62,60.19,16762,30,3,335,3.4,-14.2
AK,-149.62,60.19,16761,30,0,335,-4.5,-13.6
AK,-149.62,60.19,16760,30,0,335,1.6,-4.7
AK,-149.62,60.19,16759,30,15,320,1.4,-3.4
AK,-149.62,60.19,16758,8,30,290,1.6,-12.3
AK,-149.62,60.19,16757,8,0,290,-12.3,-21.2
AK,-149.62,60.19,16756,8,0,290,-10.1,-18.7
AK,-149.62,60.19,16755,8,0,290,-11.6,-20.2
AK,-149.67,61.11,16762,51,0,112,0.9,-8.8
AK,-149.67,61.11,16761,51,0,112,-2.9,-15.8
AK,-149.67,61.11,16760,41,13,99,-0.3,-10.4
AK,-149.67,61.11,16759,33,8,91,2.1,-3.9
AK,-149.67,61.11,16758,33,5,86,0.1,-14.8
AK,-149.67,61.11,16757,33,0,86,-14.8,-24.5
AK,-149.67,61.11,16756,33,0,86,-14.2,-24.9
AK,-149.67,61.11,16755,33,0,86,-14.1,-24.7
AK,-149.34,60.26,16762,58,3,249,#N/A,#N/A
AK,-149.34,60.26,16761,58,0,249,#N/A,#N/A
AK,-149.34,60.26,16760,58,0,249,#N/A,#N/A
AK,-149.34,60.26,16759,51,8,241,#N/A,#N/A
AK,-149.34,60.26,16758,18,28,213,#N/A,#N/A
AK,-149.34,60.26,16757,18,0,213,#N/A,#N/A
AK,-149.34,60.26,16756,15,3,211,#N/A,#N/A
AK,-149.34,60.26,16755,15,0,211,#N/A,#N/A
AK,-149.53,60.62,16762,61,0,137,-1.3,-10.1
AK,-149.53,60.62,16761,61,0,137,-6.4,-16
AK,-149.53,60.62,16760,51,10,127,0.1,-7.3
AK,-149.53,60.62,16759,43,10,117,0.3,-5.2
AK,-149.53,60.62,16758,38,10,107,-1.8,-13.6
AK,-149.53,60.62,16757,38,0,107,-13.6,-22.9
AK,-149.53,60.62,16756,38,0,107,-13.6,-22
AK,-149.53,60.62,16755,38,0,107,-14.9,-23.1
AK,-149.06,60.61,16762,64,0,361,-1.8,-9.6
AK,-149.06,60.61,16761,64,0,361,-5.5,-10.5
AK,-149.06,60.61,16760,61,5,356,-0.1,-6.9
AK,-149.06,60.61,16759,61,5,351,0.8,-3.4
AK,-149.06,60.61,16758,56,5,345,-1.6,-14.3
AK,-149.06,60.61,16757,56,8,338,-14.3,-20.2
AK,-149.06,60.61,16756,56,0,338,-16.3,-20.4
AK,-149.06,60.61,16755,56,0,338,-15.7,-20.1
AK,-149.69,60.39,16762,46,3,165,1.8,-9.2
AK,-149.69,60.39,16761,46,0,165,-5.5,-10.6
AK,-149.69,60.39,16760,38,8,157,0.7,-6.9
AK,-149.69,60.39,16759,28,8,150,1.2,-1.4
AK,-149.69,60.39,16758,15,18,132,0.6,-10.3
AK,-149.69,60.39,16757,15,3,130,-10.3,-17.3
